latitude,longitude,api
6100949.434258233,-11440607.859715099,33053073850000
6100631.237709992,-11442222.994207019,33053073860000
6100620.93059993,-11440862.781349016,33053074900000
6100644.204736999,-11440835.396754282,33053074910000
6100644.703469195,-11440812.576258669,33053074920000
6100649.19206029,-11440804.004657878,33053074930000
6062616.1434821,-11438178.645787008,33053075010000
6062581.386274219,-11438209.481285958,33053075020000
6062557.718350974,-11438231.188586663,33053075030000
6100829.402618442,-11442357.91342986,33053075320000
6100830.566352049,-11442289.785901494,33053075330000
6100831.730085812,-11442221.54705364,33053075340000
6100832.062581204,-11442198.726558026,33053075350000
6100832.395076607,-11442176.017381905,33053075360000
6100832.727572025,-11442153.308205783,33053075370000
6100833.060067451,-11442130.59902966,33053075380000
6100833.558810619,-11442107.77853405,33053075390000
6100853.342312938,-11442285.221802372,33053075400000
6100853.841057285,-11442262.40130676,33053075410000
6096028.016655664,-11438853.130581725,33053075860000
6096028.182810408,-11438830.421405604,33053075870000
6096028.515119905,-11438807.712229481,33053075880000
6096028.681274659,-11438785.00305336,33053075890000
6096028.847429417,-11438762.293877238,33053075900000
6096050.779885577,-11438857.806000339,33053075910000
6096050.9460407635,-11438835.096824218,33053075920000
6096051.112195947,-11438812.387648096,33053075930000
6096051.444506334,-11438789.678471971,33053075940000
6096051.610661533,-11438766.85797636,33053075950000
6096051.776816734,-11438744.148800239,33053075960000
6096051.942971934,-11438721.439624116,33053075970000
6091227.485804427,-11438887.528304381,33053076600000
6091249.7381344605,-11438891.535806049,33053076610000
6091271.990522102,-11438895.543307718,33053076620000
6091294.242967358,-11438899.439489897,33053076630000
6091414.80572458,-11438897.992336515,33053076640000
6091392.552967198,-11438893.984834848,33053076650000
6091383.751519357,-11438915.469496569,33053076660000
6091406.004253955,-11438919.365678746,33053076670000
6091236.453154378,-11438889.309416233,33053078090000
6091520.4240751155,-11436079.38282963,33053079150000
6091520.590142722,-11436102.09200575,33053079160000
6091520.590142722,-11436124.801181873,33053079170000
6091519.427669518,-11436152.51973508,33053079180000
6091519.5937371105,-11436175.228911202,33053079190000
6091520.756210341,-11436192.928710239,33053079200000
6067493.307419407,-11438744.26011973,33053079240000
6067490.9889559625,-11438721.99622157,33053079250000
6067488.339284217,-11438699.398364939,33053079260000
6067486.186426526,-11438672.236409187,33053079270000
6067483.867965003,-11438654.53661015,33053079280000
6067481.218295448,-11438631.938753521,33053079290000
6067479.065439538,-11438609.229577396,33053079300000
6067476.746979926,-11438586.631720765,33053079310000
6067518.3137433445,-11438739.584701115,33053079320000
6067513.345593739,-11438694.722946327,33053079330000
6067508.874261541,-11438649.861191537,33053079340000
6067506.2245843,-11438627.263334906,33053079350000
6067501.753255794,-11438581.956302153,33053079360000
6091497.672842762,-11436083.835609261,33053079470000
6091497.838909934,-11436106.544785384,33053083250000
6091334.596429213,-11438347.740093524,33053083430000
6091311.845688739,-11438359.206001075,33053083440000
6091370.300267429,-11438890.08865267,33053083590000
6091334.430365199,-11438370.449269645,33053084540000
6091334.928557258,-11438325.030917402,33053084550000
6091335.094621286,-11438302.321741281,33053084560000
6091312.177815902,-11438313.787648832,33053084570000
6091312.50994308,-11438291.078472711,33053084580000
6091604.122557687,-11439191.987111699,33053090540000
6091585.190686725,-11439190.873916794,33053090550000
6091565.262446557,-11439179.630648222,33053090560000
6091545.83245688,-11439168.387379654,33053090570000
6091370.964526292,-11439079.109148035,33053090580000
6091352.365297603,-11439055.064138025,33053090590000
6091335.260685317,-11439051.056636354,33053090600000
6091317.65791598,-11439037.030380515,33053090610000
6079574.183837074,-11442726.71490286,33053902450000
6094561.826160307,-11442089.633457048,33053903710000
6064602.005896933,-11371199.934566513,33055001230000
